Total,Afrikaans,Black African,Coloured,English,Female,Indian or Asian,Male,Sepedi,Sesotho,Setswana,SiSwati,Sign language,Tshivenda,White,Xitsonga,isiNdebele,isiXhosa,isiZulu,locID
40,1,38,0,0,10,0,28,0,3,1,0,0,0,0,2,2,1,6,Electron
529,70,175,66,373,322,286,267,5,34,21,1,0,2,52,0,5,12,65,Evans Park
338,57,329,6,754,564,1,509,42,17,40,5,0,1,738,7,35,17,65,Fairmount
125,5,123,0,282,219,0,163,22,5,16,0,1,0,257,3,12,9,26,Fairmount Ridge
84,8,77,5,339,235,0,185,16,3,20,1,0,0,338,5,12,2,9,Fairvale
1669,27,1606,39,184,832,22,884,85,79,50,37,20,21,45,123,94,94,716,Fairview
260,75,224,12,388,396,22,271,38,15,51,1,3,2,406,10,19,12,45,Fairway
145,6,129,0,223,179,14,170,21,18,18,1,0,2,206,9,1,8,39,Fairwood
106,72,86,2,179,163,16,146,2,13,6,0,2,6,191,0,3,1,22,Fellside
611,12,460,21,120,213,128,412,49,32,59,2,0,18,14,27,6,36,82,Ferreirasdorp
2313,46,1086,50,1008,1053,1175,1297,65,65,116,8,10,25,7,17,59,104,350,Fordsburg
4802,613,3977,622,1557,2897,201,2847,163,352,158,53,26,80,899,94,423,583,999,Forest Hill
413,102,315,13,701,542,83,530,19,20,33,1,1,15,630,22,26,20,59,Forest Town
75,4,57,6,96,78,10,57,4,9,6,0,0,0,62,4,7,0,7,Formain
30,5,16,6,22,22,6,20,4,2,0,0,0,0,14,4,0,2,3,Founders Hill
10680,58,10643,26,502,5050,9,5705,572,1362,305,86,25,488,6,2209,211,1578,3032,Freedom Park
6608,31,6590,6,133,929,10,5687,155,223,116,19,28,20,8,58,154,96,5535,George Goch
772,66,306,215,676,526,249,501,0,65,43,0,5,6,247,19,7,35,61,Gillview
1664,290,943,217,2068,1636,502,1470,54,129,47,17,6,16,1302,38,30,75,235,Glenanda
675,302,512,131,242,465,30,565,27,29,22,4,2,2,340,23,21,62,86,Glenesk
714,70,693,16,2301,1644,3,1348,107,70,129,5,6,5,2252,19,34,56,146,Glenhazel
70,24,63,2,363,263,3,185,22,2,4,0,0,1,378,0,9,6,9,Glensan
3883,1375,2316,446,6829,5336,1119,4841,126,337,222,37,17,51,6138,89,45,219,541,Glenvista
3086,658,1794,198,4262,3183,1092,2938,148,151,126,19,11,42,2943,21,58,117,320,Greenstone Hill
